id,title,instructor,description,tags,level,duration_weeks,price,rating,learners_count,is_active,deleted_at,embedding_synced_at,created_at,updated_at
crs_deep-learning-foundations,Deep Learning Foundations,Elena Kobayashi,"Deep Learning Foundations — a intermediate-level, 8-week course covering Machine Learning, Python for AI.","[""Machine Learning"", ""Python for AI""]",Intermediate,8,199.0,4.7,1450,1,,2024-12-31 09:05:00,2024-12-31 09:00:00,2024-12-31 09:00:00
crs_feature-engineering-at-scale,Feature Engineering at Scale,Dana Cho,"Feature Engineering at Scale — a intermediate-level, 5-week course covering Machine Learning, Data Engineering.","[""Machine Learning"", ""Data Engineering""]",Intermediate,5,169.0,4.5,720,1,,2025-06-26 09:05:00,2025-06-26 09:00:00,2025-06-26 09:00:00
crs_time-series-forecasting,Time Series Forecasting,Marcus Webb,"Time Series Forecasting — a intermediate-level, 5-week course covering Machine Learning, Business & Finance.","[""Machine Learning"", ""Business & Finance""]",Intermediate,5,159.0,4.4,540,1,,2026-02-16 09:05:00,2026-02-16 09:00:00,2026-02-16 09:00:00
crs_data-pipelines-with-python,Data Pipelines with Python,Dana Cho,"Data Pipelines with Python — a beginner-level, 6-week course covering Data Engineering, Python for AI.","[""Data Engineering"", ""Python for AI""]",Beginner,6,149.0,4.6,980,1,,2025-06-03 09:05:00,2025-06-03 09:00:00,2025-06-03 09:00:00
crs_streaming-data-systems,Streaming Data Systems,Sam Whitfield,"Streaming Data Systems — a advanced-level, 6-week course covering Data Engineering, Cloud & DevOps.","[""Data Engineering"", ""Cloud & DevOps""]",Advanced,6,219.0,4.5,340,1,,2025-08-28 09:05:00,2025-08-28 09:00:00,2025-08-28 09:00:00
crs_data-warehousing-fundamentals,Data Warehousing Fundamentals,Marcus Webb,"Data Warehousing Fundamentals — a beginner-level, 5-week course covering Data Engineering, Business & Finance.","[""Data Engineering"", ""Business & Finance""]",Beginner,5,129.0,4.4,760,1,,2026-03-16 09:05:00,2026-03-16 09:00:00,2026-03-16 09:00:00
crs_building-reliable-etl,Building Reliable ETL,Dana Cho,"Building Reliable ETL — a intermediate-level, 5-week course covering Data Engineering, Cloud & DevOps.","[""Data Engineering"", ""Cloud & DevOps""]",Intermediate,5,169.0,4.6,500,1,,2026-03-17 09:05:00,2026-03-17 09:00:00,2026-03-17 09:00:00
crs_diffusion-models-explained,Diffusion Models Explained,Elena Kobayashi,"Diffusion Models Explained — a advanced-level, 5-week course covering Generative AI, Machine Learning.","[""Generative AI"", ""Machine Learning""]",Advanced,5,199.0,4.7,460,1,,2026-02-13 09:05:00,2026-02-13 09:00:00,2026-02-13 09:00:00
crs_fine-tuning-llms,Fine-Tuning LLMs,Priya Nathan,"Fine-Tuning LLMs — a advanced-level, 6-week course covering Generative AI, Python for AI.","[""Generative AI"", ""Python for AI""]",Advanced,6,229.0,4.8,690,1,,2025-12-11 09:05:00,2025-12-11 09:00:00,2025-12-11 09:00:00
crs_retrieval-augmented-generation-basics,Retrieval-Augmented Generation Basics,Elena Kobayashi,"Retrieval-Augmented Generation Basics — a beginner-level, 4-week course covering Generative AI, Agentic AI.","[""Generative AI"", ""Agentic AI""]",Beginner,4,129.0,4.6,1010,1,,2025-12-03 09:05:00,2025-12-03 09:00:00,2025-12-03 09:00:00
crs_containers--kubernetes-for-ai,Containers & Kubernetes for AI,Sam Whitfield,"Containers & Kubernetes for AI — a intermediate-level, 6-week course covering Cloud & DevOps, MLOps.","[""Cloud & DevOps"", ""MLOps""]",Intermediate,6,189.0,4.5,610,1,,2025-07-17 09:05:00,2025-07-17 09:00:00,2025-07-17 09:00:00
crs_ci-cd-for-ml-pipelines,CI/CD for ML Pipelines,Dana Cho,"CI/CD for ML Pipelines — a intermediate-level, 5-week course covering Cloud & DevOps, MLOps.","[""Cloud & DevOps"", ""MLOps""]",Intermediate,5,179.0,4.4,420,1,,2025-05-28 09:05:00,2025-05-28 09:00:00,2025-05-28 09:00:00
crs_infrastructure-as-code-essentials,Infrastructure as Code Essentials,Dana Cho,"Infrastructure as Code Essentials — a intermediate-level, 5-week course covering Cloud & DevOps, Cybersecurity.","[""Cloud & DevOps"", ""Cybersecurity""]",Intermediate,5,159.0,4.5,450,1,,2026-03-19 09:05:00,2026-03-19 09:00:00,2026-03-19 09:00:00
crs_securing-ai-applications,Securing AI Applications,Nadia Farouk,"Securing AI Applications — a advanced-level, 5-week course covering Cybersecurity, Agentic AI.","[""Cybersecurity"", ""Agentic AI""]",Advanced,5,209.0,4.6,290,1,,2025-06-18 09:05:00,2025-06-18 09:00:00,2025-06-18 09:00:00
crs_cloud-security-fundamentals,Cloud Security Fundamentals,Nadia Farouk,"Cloud Security Fundamentals — a beginner-level, 5-week course covering Cybersecurity, Cloud & DevOps.","[""Cybersecurity"", ""Cloud & DevOps""]",Beginner,5,139.0,4.5,640,1,,2025-12-21 09:05:00,2025-12-21 09:00:00,2025-12-21 09:00:00
crs_threat-modeling-in-practice,Threat Modeling in Practice,Nadia Farouk,"Threat Modeling in Practice — a intermediate-level, 4-week course covering Cybersecurity, Career Skills.","[""Cybersecurity"", ""Career Skills""]",Intermediate,4,149.0,4.4,310,1,,2025-03-31 09:05:00,2025-03-31 09:00:00,2025-03-31 09:00:00
crs_applied-cryptography-basics,Applied Cryptography Basics,Nadia Farouk,"Applied Cryptography Basics — a intermediate-level, 5-week course covering Cybersecurity, Python for AI.","[""Cybersecurity"", ""Python for AI""]",Intermediate,5,159.0,4.3,260,1,,2025-05-04 09:05:00,2025-05-04 09:00:00,2025-05-04 09:00:00
crs_product-sense-for-ai-features,Product Sense for AI Features,Freed Osei,"Product Sense for AI Features — a beginner-level, 4-week course covering Product & Design, Generative AI.","[""Product & Design"", ""Generative AI""]",Beginner,4,119.0,4.6,830,1,,2025-04-07 09:05:00,2025-04-07 09:00:00,2025-04-07 09:00:00
crs_ux-research-fundamentals,UX Research Fundamentals,Lena Marsh,"UX Research Fundamentals — a beginner-level, 4-week course covering Product & Design, Career Skills.","[""Product & Design"", ""Career Skills""]",Beginner,4,109.0,4.5,700,1,,2025-06-26 09:05:00,2025-06-26 09:00:00,2025-06-26 09:00:00
crs_design-systems-at-scale,Design Systems at Scale,Lena Marsh,"Design Systems at Scale — a intermediate-level, 5-week course covering Product & Design.","[""Product & Design""]",Intermediate,5,149.0,4.4,380,1,,2025-08-30 09:05:00,2025-08-30 09:00:00,2025-08-30 09:00:00
crs_prototyping-with-ai-tools,Prototyping with AI Tools,Freed Osei,"Prototyping with AI Tools — a beginner-level, 3-week course covering Product & Design, Generative AI.","[""Product & Design"", ""Generative AI""]",Beginner,3,99.0,4.5,920,1,,2025-12-10 09:05:00,2025-12-10 09:00:00,2025-12-10 09:00:00
crs_ai-roi-for-business-leaders,AI ROI for Business Leaders,Owen Castillo,"AI ROI for Business Leaders — a beginner-level, 3-week course covering Business & Finance, Career Skills.","[""Business & Finance"", ""Career Skills""]",Beginner,3,99.0,4.4,640,1,,2025-08-15 09:05:00,2025-08-15 09:00:00,2025-08-15 09:00:00
crs_financial-modeling-with-python,Financial Modeling with Python,Owen Castillo,"Financial Modeling with Python — a intermediate-level, 6-week course covering Business & Finance, Python for AI.","[""Business & Finance"", ""Python for AI""]",Intermediate,6,179.0,4.5,470,1,,2025-06-04 09:05:00,2025-06-04 09:00:00,2025-06-04 09:00:00
crs_data-driven-decision-making,Data-Driven Decision Making,Owen Castillo,"Data-Driven Decision Making — a intermediate-level, 5-week course covering Business & Finance, Data Engineering.","[""Business & Finance"", ""Data Engineering""]",Intermediate,5,149.0,4.5,520,1,,2025-11-10 09:05:00,2025-11-10 09:00:00,2025-11-10 09:00:00
crs_ios-development-with-swift,iOS Development with Swift,Ravi Menon,"iOS Development with Swift — a beginner-level, 7-week course covering Mobile Development, Product & Design.","[""Mobile Development"", ""Product & Design""]",Beginner,7,179.0,4.6,1230,1,,2025-02-11 09:05:00,2025-02-11 09:00:00,2025-02-11 09:00:00
crs_android-development-with-kotlin,Android Development with Kotlin,Ravi Menon,"Android Development with Kotlin — a beginner-level, 7-week course covering Mobile Development, Product & Design.","[""Mobile Development"", ""Product & Design""]",Beginner,7,179.0,4.5,1080,1,,2025-01-11 09:05:00,2025-01-11 09:00:00,2025-01-11 09:00:00
crs_cross-platform-apps-with-react-native,Cross-Platform Apps with React Native,Ravi Menon,"Cross-Platform Apps with React Native — a intermediate-level, 6-week course covering Mobile Development, Career Skills.","[""Mobile Development"", ""Career Skills""]",Intermediate,6,169.0,4.4,690,1,,2026-03-29 09:05:00,2026-03-29 09:00:00,2026-03-29 09:00:00
crs_mobile-app-performance-tuning,Mobile App Performance Tuning,Ravi Menon,"Mobile App Performance Tuning — a advanced-level, 4-week course covering Mobile Development, Cloud & DevOps.","[""Mobile Development"", ""Cloud & DevOps""]",Advanced,4,159.0,4.3,210,1,,2025-03-09 09:05:00,2025-03-09 09:00:00,2025-03-09 09:00:00
crs_technical-interview-prep,Technical Interview Prep,Lena Marsh,"Technical Interview Prep — a beginner-level, 3-week course covering Career Skills.","[""Career Skills""]",Beginner,3,89.0,4.6,1740,1,,2025-02-13 09:05:00,2025-02-13 09:00:00,2025-02-13 09:00:00
crs_communicating-technical-work,Communicating Technical Work,Lena Marsh,"Communicating Technical Work — a beginner-level, 3-week course covering Career Skills, Product & Design.","[""Career Skills"", ""Product & Design""]",Beginner,3,79.0,4.5,980,1,,2026-01-10 09:05:00,2026-01-10 09:00:00,2026-01-10 09:00:00
crs_negotiation-for-engineers,Negotiation for Engineers,Owen Castillo,"Negotiation for Engineers — a beginner-level, 2-week course covering Career Skills, Business & Finance.","[""Career Skills"", ""Business & Finance""]",Beginner,2,69.0,4.4,560,1,,2025-04-09 09:05:00,2025-04-09 09:00:00,2025-04-09 09:00:00
crs_model-monitoring-in-production,Model Monitoring in Production,Sam Whitfield,"Model Monitoring in Production — a advanced-level, 5-week course covering MLOps, Cloud & DevOps.","[""MLOps"", ""Cloud & DevOps""]",Advanced,5,199.0,4.6,350,1,,2025-08-28 09:05:00,2025-08-28 09:00:00,2025-08-28 09:00:00
crs_experiment-tracking--reproducibility,Experiment Tracking & Reproducibility,Dana Cho,"Experiment Tracking & Reproducibility — a intermediate-level, 4-week course covering MLOps, Machine Learning.","[""MLOps"", ""Machine Learning""]",Intermediate,4,149.0,4.5,400,1,,2025-10-09 09:05:00,2025-10-09 09:00:00,2025-10-09 09:00:00
crs_scaling-inference-systems,Scaling Inference Systems,Dana Cho,"Scaling Inference Systems — a advanced-level, 5-week course covering MLOps, Cloud & DevOps.","[""MLOps"", ""Cloud & DevOps""]",Advanced,5,209.0,4.5,300,1,,2025-11-10 09:05:00,2025-11-10 09:00:00,2025-11-10 09:00:00
crs_python-fundamentals-for-ai,Python Fundamentals for AI,Marcus Webb,"Python Fundamentals for AI — a beginner-level, 5-week course covering Python for AI, Machine Learning.","[""Python for AI"", ""Machine Learning""]",Beginner,5,99.0,4.7,2600,1,,2026-01-12 09:05:00,2026-01-12 09:00:00,2026-01-12 09:00:00
crs_numpy--pandas-in-depth,NumPy & Pandas in Depth,Marcus Webb,"NumPy & Pandas in Depth — a beginner-level, 4-week course covering Python for AI, Data Engineering.","[""Python for AI"", ""Data Engineering""]",Beginner,4,109.0,4.6,1900,1,,2025-12-12 09:05:00,2025-12-12 09:00:00,2025-12-12 09:00:00
crs_async-python-for-ai-services,Async Python for AI Services,Priya Nathan,"Async Python for AI Services — a intermediate-level, 4-week course covering Python for AI, Cloud & DevOps.","[""Python for AI"", ""Cloud & DevOps""]",Intermediate,4,139.0,4.5,640,1,,2024-11-27 09:05:00,2024-11-27 09:00:00,2024-11-27 09:00:00
crs_testing-ai-pipelines-in-python,Testing AI Pipelines in Python,Priya Nathan,"Testing AI Pipelines in Python — a intermediate-level, 4-week course covering Python for AI, MLOps.","[""Python for AI"", ""MLOps""]",Intermediate,4,139.0,4.4,380,1,,2025-03-07 09:05:00,2025-03-07 09:00:00,2025-03-07 09:00:00
